AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,stormtypeName,Name,Received,Forecaster
1,"1902-06-12 12:00:00",17.7,-84,35,0,"0 at 0mph","Tropical Depression",Unnamed,"1902-06-12 12:00:00",Unknown
2,"1902-06-12 18:00:00",19.1,-83.6,35,0,"15 at 16mph","Tropical Depression",Unnamed,"1902-06-12 18:00:00",Unknown
3,"1902-06-13 00:00:00",20.7,-83.3,40,0,"10 at 18mph","Tropical Storm",Unnamed,"1902-06-13 00:00:00",Unknown
4,"1902-06-13 06:00:00",22.2,-83.1,45,0,"5 at 17mph","Tropical Storm",Unnamed,"1902-06-13 06:00:00",Unknown
5,"1902-06-13 12:00:00",23.8,-83,50,0,"5 at 18mph","Tropical Storm",Unnamed,"1902-06-13 12:00:00",Unknown
6,"1902-06-13 18:00:00",24.9,-83.2,60,0,"350 at 12mph","Tropical Storm",Unnamed,"1902-06-13 18:00:00",Unknown
7,"1902-06-14 00:00:00",25.9,-83.5,60,0,"345 at 11mph","Tropical Storm",Unnamed,"1902-06-14 00:00:00",Unknown
8,"1902-06-14 06:00:00",26.9,-83.8,60,0,"345 at 11mph","Tropical Storm",Unnamed,"1902-06-14 06:00:00",Unknown
9,"1902-06-14 12:00:00",28,-84,60,0,"350 at 12mph","Tropical Storm",Unnamed,"1902-06-14 12:00:00",Unknown
10,"1902-06-14 18:00:00",29,-83.9,60,0,"5 at 11mph","Tropical Storm",Unnamed,"1902-06-14 18:00:00",Unknown
11,"1902-06-15 00:00:00",30,-83.6,50,0,"15 at 11mph","Tropical Storm",Unnamed,"1902-06-15 00:00:00",Unknown
12,"1902-06-15 06:00:00",31,-83.2,45,0,"20 at 11mph","Tropical Storm",Unnamed,"1902-06-15 06:00:00",Unknown
13,"1902-06-15 12:00:00",32,-82.5,40,0,"30 at 12mph","Tropical Storm",Unnamed,"1902-06-15 12:00:00",Unknown
14,"1902-06-15 18:00:00",33,-81.7,40,0,"35 at 13mph","Tropical Storm",Unnamed,"1902-06-15 18:00:00",Unknown
15,"1902-06-16 00:00:00",34,-80.7,40,0,"40 at 14mph","Tropical Storm",Unnamed,"1902-06-16 00:00:00",Unknown
16,"1902-06-16 06:00:00",35.2,-79.5,40,0,"40 at 17mph","Tropical Storm",Unnamed,"1902-06-16 06:00:00",Unknown
17,"1902-06-16 12:00:00",36.7,-78,45,0,"40 at 21mph","Extratropical Storm",Unnamed,"1902-06-16 12:00:00",Unknown
18,"1902-06-16 18:00:00",38.6,-74.9,45,0,"50 at 35mph","Extratropical Storm",Unnamed,"1902-06-16 18:00:00",Unknown
19,"1902-06-17 00:00:00",41.9,-71.5,40,0,"40 at 47mph","Extratropical Storm",Unnamed,"1902-06-17 00:00:00",Unknown
20,"1902-06-17 06:00:00",45,-68.2,40,0,"40 at 44mph","Extratropical Storm",Unnamed,"1902-06-17 06:00:00",Unknown
21,"1902-06-17 12:00:00",47.5,-66,35,0,"30 at 33mph","Extratropical Storm",Unnamed,"1902-06-17 12:00:00",Unknown
22,"1902-06-17 18:00:00",49.4,-64,35,0,"35 at 26mph","Extratropical Storm",Unnamed,"1902-06-17 18:00:00",Unknown
1,"1903-07-21 00:00:00",20,-67.8,40,0,"0 at 0mph","Tropical Storm",Unnamed,"1903-07-21 00:00:00",Unknown
2,"1903-07-21 06:00:00",20.7,-68.9,40,0,"305 at 13mph","Tropical Storm",Unnamed,"1903-07-21 06:00:00",Unknown
3,"1903-07-21 12:00:00",21.5,-70,40,0,"310 at 14mph","Tropical Storm",Unnamed,"1903-07-21 12:00:00",Unknown
4,"1903-07-21 18:00:00",22.5,-71.2,40,0,"310 at 16mph","Tropical Storm",Unnamed,"1903-07-21 18:00:00",Unknown
5,"1903-07-22 00:00:00",23.7,-72.6,40,0,"315 at 19mph","Tropical Storm",Unnamed,"1903-07-22 00:00:00",Unknown
6,"1903-07-22 06:00:00",24.9,-73.8,40,0,"320 at 18mph","Tropical Storm",Unnamed,"1903-07-22 06:00:00",Unknown
7,"1903-07-22 12:00:00",26.5,-75,45,0,"325 at 21mph","Tropical Storm",Unnamed,"1903-07-22 12:00:00",Unknown
8,"1903-07-22 18:00:00",27.6,-75.5,45,0,"340 at 12mph","Tropical Storm",Unnamed,"1903-07-22 18:00:00",Unknown
9,"1903-07-23 00:00:00",28.8,-75.6,50,0,"355 at 13mph","Tropical Storm",Unnamed,"1903-07-23 00:00:00",Unknown
10,"1903-07-23 06:00:00",29.9,-75.4,60,0,"10 at 12mph","Tropical Storm",Unnamed,"1903-07-23 06:00:00",Unknown
11,"1903-07-23 12:00:00",31,-75,65,0,"15 at 12mph","Tropical Storm",Unnamed,"1903-07-23 12:00:00",Unknown
12,"1903-07-23 18:00:00",32.2,-73.6,70,0,"45 at 18mph","Tropical Storm",Unnamed,"1903-07-23 18:00:00",Unknown
13,"1903-07-24 00:00:00",33.4,-71.6,75,0,"55 at 23mph",Hurricane,Unnamed,"1903-07-24 00:00:00",Unknown
14,"1903-07-24 06:00:00",34.3,-70.1,80,0,"55 at 17mph",Hurricane,Unnamed,"1903-07-24 06:00:00",Unknown
15,"1903-07-24 12:00:00",35.3,-68.5,80,0,"55 at 18mph",Hurricane,Unnamed,"1903-07-24 12:00:00",Unknown
16,"1903-07-24 18:00:00",36.4,-66.9,80,0,"50 at 19mph",Hurricane,Unnamed,"1903-07-24 18:00:00",Unknown
17,"1903-07-25 00:00:00",37.3,-65.2,80,0,"55 at 18mph",Hurricane,Unnamed,"1903-07-25 00:00:00",Unknown
18,"1903-07-25 06:00:00",37.9,-63.6,75,0,"65 at 16mph",Hurricane,Unnamed,"1903-07-25 06:00:00",Unknown
19,"1903-07-25 12:00:00",38.5,-61.5,70,0,"70 at 19mph","Tropical Storm",Unnamed,"1903-07-25 12:00:00",Unknown
20,"1903-07-25 18:00:00",39.3,-58,65,0,"75 at 32mph","Tropical Storm",Unnamed,"1903-07-25 18:00:00",Unknown
21,"1903-07-26 00:00:00",39.9,-54.7,60,0,"75 at 29mph","Tropical Storm",Unnamed,"1903-07-26 00:00:00",Unknown
22,"1903-07-26 06:00:00",40.5,-51.4,60,0,"75 at 28mph","Extratropical Storm",Unnamed,"1903-07-26 06:00:00",Unknown
23,"1903-07-26 12:00:00",41,-48.5,50,0,"75 at 25mph","Extratropical Storm",Unnamed,"1903-07-26 12:00:00",Unknown
24,"1903-07-26 18:00:00",41.4,-45.7,45,0,"80 at 24mph","Extratropical Storm",Unnamed,"1903-07-26 18:00:00",Unknown
1,"1904-06-10 12:00:00",13,-80.5,35,0,"0 at 0mph","Tropical Depression",Unnamed,"1904-06-10 12:00:00",Unknown
2,"1904-06-10 18:00:00",13.6,-80.7,35,0,"340 at 6mph","Tropical Depression",Unnamed,"1904-06-10 18:00:00",Unknown
3,"1904-06-11 00:00:00",14.2,-80.7,35,0,"0 at 5mph","Tropical Depression",Unnamed,"1904-06-11 00:00:00",Unknown
4,"1904-06-11 06:00:00",14.6,-80.5,35,0,"25 at 4mph","Tropical Depression",Unnamed,"1904-06-11 06:00:00",Unknown
5,"1904-06-11 12:00:00",15,-80.3,35,0,"25 at 4mph","Tropical Depression",Unnamed,"1904-06-11 12:00:00",Unknown
6,"1904-06-11 18:00:00",15.7,-80.2,35,0,"10 at 8mph","Tropical Depression",Unnamed,"1904-06-11 18:00:00",Unknown
7,"1904-06-12 00:00:00",16.2,-80.1,40,0,"10 at 5mph","Tropical Storm",Unnamed,"1904-06-12 00:00:00",Unknown
8,"1904-06-12 06:00:00",16.8,-79.9,45,0,"20 at 6mph","Tropical Storm",Unnamed,"1904-06-12 06:00:00",Unknown
9,"1904-06-12 12:00:00",17.3,-79.7,50,0,"20 at 5mph","Tropical Storm",Unnamed,"1904-06-12 12:00:00",Unknown
10,"1904-06-12 18:00:00",17.7,-79.5,60,0,"25 at 4mph","Tropical Storm",Unnamed,"1904-06-12 18:00:00",Unknown
11,"1904-06-13 00:00:00",18.1,-79.2,65,0,"35 at 4mph","Tropical Storm",Unnamed,"1904-06-13 00:00:00",Unknown
12,"1904-06-13 06:00:00",18.4,-78.9,70,0,"45 at 4mph","Tropical Storm",Unnamed,"1904-06-13 06:00:00",Unknown
13,"1904-06-13 12:00:00",18.7,-78.5,75,0,"50 at 4mph",Hurricane,Unnamed,"1904-06-13 12:00:00",Unknown
14,"1904-06-13 18:00:00",19.4,-77.7,80,0,"45 at 11mph",Hurricane,Unnamed,"1904-06-13 18:00:00",Unknown
15,"1904-06-14 00:00:00",20.3,-76.8,65,0,"45 at 13mph","Tropical Storm",Unnamed,"1904-06-14 00:00:00",Unknown
16,"1904-06-14 06:00:00",21.1,-76,45,0,"45 at 11mph","Tropical Storm",Unnamed,"1904-06-14 06:00:00",Unknown
17,"1904-06-14 12:00:00",22,-75.3,40,0,"35 at 12mph","Tropical Storm",Unnamed,"1904-06-14 12:00:00",Unknown
18,"1904-06-14 18:00:00",22.9,-74.6,30,0,"35 at 12mph","Tropical Depression",Unnamed,"1904-06-14 18:00:00",Unknown
1,"1905-09-06 12:00:00",11.6,-58.5,60,0,"0 at 0mph","Tropical Storm",Unnamed,"1905-09-06 12:00:00",Unknown
2,"1905-09-06 18:00:00",12,-59.8,60,0,"285 at 14mph","Tropical Storm",Unnamed,"1905-09-06 18:00:00",Unknown
3,"1905-09-07 00:00:00",12.5,-61.1,60,0,"290 at 14mph","Tropical Storm",Unnamed,"1905-09-07 00:00:00",Unknown
4,"1905-09-07 06:00:00",13,-62.8,60,0,"285 at 19mph","Tropical Storm",Unnamed,"1905-09-07 06:00:00",Unknown
5,"1905-09-07 12:00:00",13.5,-64.3,45,0,"290 at 17mph","Tropical Storm",Unnamed,"1905-09-07 12:00:00",Unknown
6,"1905-09-07 18:00:00",13.9,-65.8,40,0,"285 at 17mph","Tropical Storm",Unnamed,"1905-09-07 18:00:00",Unknown
7,"1905-09-08 00:00:00",14.4,-67.3,35,0,"290 at 17mph","Tropical Depression",Unnamed,"1905-09-08 00:00:00",Unknown
8,"1905-09-08 06:00:00",14.9,-68.9,35,0,"290 at 18mph","Tropical Depression",Unnamed,"1905-09-08 06:00:00",Unknown
9,"1905-09-08 12:00:00",15.3,-70.3,35,0,"285 at 16mph","Tropical Depression",Unnamed,"1905-09-08 12:00:00",Unknown
10,"1905-09-08 18:00:00",15.9,-72.1,30,0,"290 at 20mph","Tropical Depression",Unnamed,"1905-09-08 18:00:00",Unknown
1,"1906-06-08 12:00:00",19.4,-83.6,40,0,"0 at 0mph","Tropical Storm",Unnamed,"1906-06-08 12:00:00",Unknown
2,"1906-06-08 18:00:00",20.4,-83.7,40,0,"355 at 11mph","Tropical Storm",Unnamed,"1906-06-08 18:00:00",Unknown
3,"1906-06-09 00:00:00",21.4,-83.8,40,0,"355 at 11mph","Tropical Storm",Unnamed,"1906-06-09 00:00:00",Unknown
4,"1906-06-09 06:00:00",22.2,-83.9,40,0,"355 at 9mph","Tropical Storm",Unnamed,"1906-06-09 06:00:00",Unknown
5,"1906-06-09 12:00:00",23,-84,45,0,"355 at 9mph","Tropical Storm",Unnamed,"1906-06-09 12:00:00",Unknown
6,"1906-06-09 18:00:00",23.5,-84.1,50,0,"350 at 5mph","Tropical Storm",Unnamed,"1906-06-09 18:00:00",Unknown
7,"1906-06-10 00:00:00",23.9,-84.2,50,0,"345 at 4mph","Tropical Storm",Unnamed,"1906-06-10 00:00:00",Unknown
8,"1906-06-10 06:00:00",24.4,-84.2,50,0,"0 at 5mph","Tropical Storm",Unnamed,"1906-06-10 06:00:00",Unknown
9,"1906-06-10 12:00:00",25,-84.3,50,0,"350 at 6mph","Tropical Storm",Unnamed,"1906-06-10 12:00:00",Unknown
10,"1906-06-10 18:00:00",25.4,-84.4,50,0,"345 at 4mph","Tropical Storm",Unnamed,"1906-06-10 18:00:00",Unknown
